Become A Seller,Trở thành một người bán
Manage Commissions,quản lý hoa hồng
Add New Commission,Thêm Ủy ban mới
Save Commission,Lưu Ủy ban
Save and Continue Edit,Lưu và Tiếp tục Sửa
Delete Commission,Ủy ban Xóa
Edit Commission '%1',Sửa Ủy ban '% 1'
New Commission,Ủy ban mới
Calculate Commission Using The Following Information,Ủy ban Tính Sử dụng Các thông tin sau
Commission By,Ủy ban Bằng
Fixed Amount,Số tiền cố định
Percent Of Product Price,Phần trăm sản phẩm Giá
Calculate Commission Based On,Tính toán hoa hồng dựa trên
Product Price (Incl. Tax),Giá sản phẩm (Incl. Thuế)
Product Price (Excl. Tax),Giá sản phẩm (excl. Thuế)
Product Price After Discount (Incl. Tax),Giá sản phẩm Sau khi chiết khấu (. Thuế Incl)
Product Price After Discount (Excl. Tax),Giá sản phẩm Sau khi chiết khấu (. Thuế excl)
Commission,Uỷ ban
Discard subsequent rules,quy tắc tiếp theo Huỷ
Yes,Đúng
No,Không
Actions,Hoạt động
Conditions (don't add conditions if rule is applied to all products),Điều kiện (không thêm điều kiện nếu quy tắc được áp dụng cho tất cả các sản phẩm)
Apply To,Nộp đơn
Conditions,Điều kiện
Commission Information,Thông tin Ủy ban
Title,Tiêu đề
Description,Sự miêu tả
Status,Trạng thái
From,Từ
To,Đến
Priority,Sự ưu tiên
Seller Group,bán Nhóm
Store View,cửa hàng Xem
General Infomration,chung Infomration
Preview,Xem trước
Manage Seller Groups,Quản lý bán Groups
Add New Seller Group,Add New Seller Nhóm
Save Group,Lưu Nhóm
Delete Group,Xóa Nhóm
Edit Group '%1',Chỉnh sửa nhóm '% 1'
New Group,Nhóm mới
Group Information,Thông tin nhóm
Group Name,Tên nhóm
URL Key,chính URL
Empty to auto create url key,Trống để tự động tạo khoá url
Page Status,Tình trạng trang
Option Data,Lựa chọn dữ liệu
Limit Product,Giới hạn sản phẩm
Can Add New Product,Có thể Thêm sản phẩm mới
Can Cancel Order,Có thể Hủy bỏ theo thứ tự
Can Create Invoice,Có thể Tạo Hóa Đơn
Can Create Shipment,Có thể Tạo Lô hàng
Can Create Credit Memo,Có thể Tạo Memo tín dụng
Hide Payment Information,Thông tin thanh toán Ẩn
The payment information of customer will be hidden from order.,Các thông tin thanh toán của khách hàng sẽ được ẩn từ trật tự.
Can submit comments,Có thể gửi ý kiến
Can Use Group,Thể sử dụng Group
Can Use Shipping,Có thể sử dụng Vận Chuyển
Can Use Review,Có thể sử dụng giá
Can Use Rating,Có thể sử dụng Đánh giá
Can Import/Export Product,Cần nhập khẩu sản phẩm /
Can Use Vacation,Có thể sử dụng nghỉ
Can Use Report,Báo cáo sử dụng có thể
Can Use Withdrawal,Có thể sử dụng Rút
Advanced Options,Advanced Options
Message Seller,tin nhắn của người bán
Add New Message,Add New nhắn
Save Message,Lưu tin nhắn
Delete Message,Xóa tin nhắn
Edit Message '%1',Chỉnh sửa tin nhắn '% 1'
New Message,Tin nhắn mới
Message Information,Thông tin nhắn
Subject,Môn học
Message,Thông điệp
added %1 (%2),đã thêm% 1 (% 2)
Can Use Message,Có thể sử dụng tin nhắn
Manage Payments Method,Quản lý thanh toán Phương pháp
Add New Payment,Thêm thanh toán mới
Save Payment,Lưu Thanh toán
Delete Payment,Thanh toán Xóa
Edit Payment '%1',Chỉnh sửa thanh toán '% 1'
New Payment,Thanh toán mới
Payment Information,Thông tin thanh toán
Name,Tên
Fee By,phí Bằng
Fixed Fee,Phí cố định
Percent Fee,Phí phần trăm
All,Tất cả
Min Amount,min Amount
Max Amount,Max Số tiền
Order Payment,Thanh toán đơn đặt hàng
Note Message,Lưu ý nhắn
Manage Products,Quản lý sản phẩm
Add New Product,Thêm sản phẩm mới
Manage Ratings,quản lý Ratings
Add New Rating,Add New Rating
Save Rating,Lưu Rating
Delete Rating,Xóa Đánh giá
Edit Rating '%1',Sửa Đánh giá '% 1'
New Rating,New Rating
Rating Information,Thông tin Đánh giá
Email,E-mail
Detail,Chi tiết
Seller Id,Id người bán
Rate 1,tỷ lệ 1
Rate 2,tỷ lệ 2
Rate 3,tỷ lệ 3
Manage Sellers,quản lý bán
Add New Seller,Add New Seller
Save Seller,Lưu Seller
Delete Seller,Người bán Xóa
Edit Seller '%1',Sửa Seller '% 1'
New Seller,New Seller
Page Layout,Bố trí trang
Layout,Bố trí
Layout Update XML,Giao diện Cập nhật XML
Design,thiết kế
Seller Information,Thông tin người bán
Seller Name,Tên người bán
Link Seller,liên kết của người bán
Contact Number,Số liên lạc
Shop Title,cửa hàng Tiêu đề
Customer,khách hàng
Company Banner,Công ty quảng cáo
Company Logo,Công ty Logo
Company Locality,Công ty Địa phương
Company Description,Thông tin công ty
Return Policy,Chính sách trả lại
Shipping Policy,chính sách vận chuyển
Address,Địa chỉ
Country,Quốc gia
Position,Chức vụ
Meta Data,Metadata
Page Title,trang nhan đề
Keywords,Từ khóa
Meta Keywords,meta Keywords
Meta Description,Mô tả meta
ID,TÔI
Type,Kiểu
Attribute Set,thuộc tính Set
Visibility,Hiển thị
SKU,SKU
Price,Giá bán
Social Infomation,Thông tin xã hội
Twitter Active,twitter tích cực
Twitter,Twitter
Facebook Active,Facebook kích hoạt
Page Facebook Id,Id Facebook trang
Facebook,Facebook
Google Plus Active,Google Plus tích cực
Google Plus,Google cộng
Youtube Active,Youtube tích cực
Youtube,Youtube
Vimeo Active,Vimeo tích cực
Vimeo,Vimeo
Linkedin Active,Linkedin tích cực
Linkedin,Linkedin
Instagram Active,Instagram tích cực
Instagram,Instagram
Pinterest Active,Pinterest tích cực
Pinterest,Pinterest
Social Information,Thông tin xã hội
Products,Các sản phẩm
WYSIWYG Editor,WYSIWYG Editor
Manage Withdrawals Method,Quản lý Rút Phương pháp
Add New Withdrawal,Add New Rút
Save Withdrawal,Lưu Rút
Edit Withdrawal '%1',Sửa Rút '% 1'
New Withdrawal,New Rút
Withdrawal Information,Thông tin thu hồi
Fee,Học phí
Order Withdrawal,để Rút
Export,Xuất khẩu
Export Settings,Export Settings
Entity Type,Entity Loại
Export File Format,Định dạng tập tin xuất khẩu
Fields Enclosure,Fields Enclosure
We can't filter an attribute with no attribute options.,Chúng ta không thể lọc một thuộc tính không có tùy chọn thuộc tính.
Exclude,Loại trừ
Attribute Label,thuộc tính Label
Attribute Code,thuộc tính Mã
Filter,Lọc
Unknown attribute filter type,loại bộ lọc Unknown thuộc tính
Home,Trang Chủ
Go to Home Page,Tới Trang chủ
Create New Product,Tạo sản phẩm mới
Create New Attribute,Tạo mới Thuộc tính
Export Product,xuất khẩu sản phẩm
"Images (.gif, .jpg, .png)","Hình ảnh (.gif, .jpg, .png)"
Import Product,nhập khẩu sản phẩm
Add Product,Thêm sản phẩm
label,nhãn
Advanced Report,báo cáo nâng cao
Amount Transaction,Số tiền giao dịch
Invoice,Hóa đơn
 [deleted], [Đã xóa]
View Invoice,Xem hóa đơn
Order,Đặt hàng
View Order,Xem đơn hàng
Custom Value,Giá trị tùy chỉnh
View Shipment,Xem Lô hàng
Become a Seller,Trở thành một người bán
Dashboard,bảng điều khiển
Edit Profile,Sửa hồ sơ
Seller Login,bán Login
Error!,Lỗi!
Info,Thông tin
Success,Sự thành công
Alert,báo động
Order # %1 %2 | %3,Trật tự #% 1% 2 | % 3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Đơn hàng này chứa (% 1) các mặt hàng và do đó không thể được chỉnh sửa thông qua giao diện quản trị. Nếu bạn muốn tiếp tục chỉnh sửa, (% 2) mục sẽ bị xóa, thứ tự sẽ bị hủy bỏ và một trật tự mới sẽ được đặt."
Are you sure? This order will be canceled and a new one will be created instead.,Bạn có chắc không? Lệnh này sẽ bị hủy bỏ và một cái mới sẽ được tạo ra để thay thế.
Payment,Thanh toán
Save,Tiết kiệm
Save & Draft,Lưu & Draft
Save & New,Lưu & New
Save & Duplicate,Lưu & Duplicate
Save & Close,Lưu & Đóng
Url,url
Preview Image,Xem trước hình ảnh
Get Video Information,Nhận thông tin video
Hide from Product Page,Ẩn từ trang sản phẩm
Role,Vai trò
YouTube and Vimeo supported.,YouTube và Vimeo được hỗ trợ.
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.","Vimeo được hỗ trợ. <br /> Để thêm YouTube video, vui lòng nhập YouTube API chính đầu tiên."
Weight,Cân nặng
Create New Seller Account,Tạo mới tài khoản người bán
Review,Ôn tập
Sell On Marketplace ,Bán Trên Marketplace
Vacation Settings,Cài đặt nghỉ
Pending,Pending
Completed,Đã hoàn thành
Cancel,hủy bỏ
Withdrawals,rút tiền
Amounts,Lượng
Manage Seller Amount,Quản lý bán Amount
Manage Amount Transaction,Quản lý tiền giao dịch
The seller has been deleted.,Người bán đã bị xóa.
We can't find a seller to delete.,Chúng tôi không thể tìm thấy một người bán xóa.
Seller,người bán
This seller no longer exits. ,Đây bán thoát không còn.
Edit Seller,chỉnh sửa Người bán
Sellers,Người bán
Commissions,hoa hồng
A total of %1 record(s) have been deleted.,Tổng cộng có 1% kỷ lục (s) đã bị xóa.
A total of %1 record(s) have been disabled.,Tổng cộng có 1% kỷ lục (s) đã bị vô hiệu hoá.
A total of %1 record(s) have been enabled.,Tổng cộng có 1% kỷ lục (s) đã được kích hoạt.
You saved this commission.,Bạn lưu hoa hồng này.
Something went wrong while saving the commission.,Một cái gì đó đã đi sai trong khi tiết kiệm các khoản hoa hồng.
Seller Groups,Nhóm bán
Groups,Các nhóm
Manage Groups,quản lý Nhóm
Please correct the data sent.,Xin vui lòng sửa các dữ liệu được gửi.
URL key already exists.,chìa khóa URL đã tồn tại.
You saved this group.,Bạn lưu nhóm này.
Something went wrong while saving the seller.,Một cái gì đó đã đi sai trong khi tiết kiệm cho người bán.
Invoices,hóa đơn
Manage Invoices,quản lý hóa đơn
The message has been deleted.,Thông điệp đã bị xóa.
We can't find a message to delete.,Chúng tôi không thể tìm thấy một thông điệp tới xóa.
Messages,Tin nhắn
Manage Messages,quản lý tin nhắn
You saved this message.,Bạn đã lưu thông báo này.
Orders,Đơn đặt hàng
Manage Orders,quản lý đơn đặt hàng
Manager Payment Method,Phương pháp quản lý thanh toán
Manager Payment,Thanh toán quản lý
You saved this payment.,Bạn lưu thanh toán này.
Product has been set commission.,Sản phẩm đã được thiết lập hoa hồng.
Ratings,xếp hạng
A total of %1 record(s) have been accept.,Tổng cộng có 1% kỷ lục (s) đã được chấp nhận.
A total of %1 record(s) have been reject.,Tổng cộng có 1% kỷ lục (s) đã từ chối.
You saved this rating.,Bạn lưu giá này.
Something went wrong while saving the rating.,Một cái gì đó đã đi sai trong khi tiết kiệm các đánh giá.
Refunds,Hoàn lại tiền
Manage Refunds,quản lý Hoàn lại tiền
Refundrequests,Refundrequests
Manage Refundrequests,quản lý Refundrequests
Reviews,Nhận xét
Manage Reviews,quản lý Nhận xét
A total of %1 record(s) have been approved.,Tổng cộng có 1% kỷ lục (s) đã được phê duyệt.
A total of %1 record(s) have been disapproved.,Tổng cộng có 1% kỷ lục (s) đã được chấp thuận.
The seller has been disapproved.,Người bán đã không được chấp thuận.
We can't find a seller to disapproved.,Chúng tôi không thể tìm thấy một người bán để không được chấp thuận.
The seller has been approved.,Người bán đã được phê duyệt.
We can't find a seller to approved.,Chúng tôi không thể tìm thấy một người bán để phê duyệt.
Something went wrong while saving the page.,Một cái gì đó đã đi sai khi đang lưu trang.
You saved this seller.,Bạn lưu người bán này.
SellerProducts,SellerProducts
Manage SellerProducts,quản lý SellerProducts
A total of %1 record(s) have been accepted.,Tổng cộng có 1% kỷ lục (s) đã được chấp nhận.
A total of %1 record(s) have been rejected.,Tổng cộng có 1% kỷ lục (s) đã bị từ chối.
Transactions,giao dịch
Manage Transactions,quản lý giao dịch
Withdrawal,sự rút lui
Manage Withdrawals,quản lý rút tiền
This withdrawal no longer exits. ,rút này thoát không còn.
Edit Withdrawal,Sửa Rút
	Withdraw Money : Amount ,Rút tiền: Số tiền
You must have a seller account to access,Bạn phải có một tài khoản người bán để truy cập
You must have a account to access,Bạn phải có một tài khoản để truy cập
"Attribute ""%1"" is required.","Thuộc tính ""% 1"" là bắt buộc."
You saved the category.,Bạn đã lưu các loại.
Something went wrong while saving the category.,Một cái gì đó đã đi sai trong khi tiết kiệm các loại.
This order no longer exists.,Lệnh này không còn tồn tại.
You are not authorize to manage this order.,Bạn chưa ủy quyền để quản lý trật tự này.
The invoice no longer exists.,Hóa đơn không còn tồn tại.
You are not authorize to view this invoice.,Bạn đang không cho phép để xem hóa đơn này.
The creditmemo no longer exists.,Các creditmemo không còn tồn tại.
You are not authorize to view this creditmemo.,Bạn đang không cho phép để xem creditmemo này.
The order has been cancelled.,Trình tự đã bị hủy.
You are not permitted to cancel this order.,Bạn không được phép hủy bỏ lệnh này.
We can't cancel order right now.,Chúng ta không thể hủy bỏ đặt hàng ngay bây giờ.
The credit memo's total must be positive.,tổng các bản ghi nhớ tín dụng phải là số dương.
Cannot create online refund for Refund to Store Credit.,Không thể tạo hoàn trực tuyến với Refund đến cửa hàng tín dụng.
You created the credit memo.,Bạn tạo ra các bản ghi nhớ tín dụng.
We can't create credit memo for order right now.,Chúng ta không thể tạo ra bản ghi nhớ tín dụng cho đơn đặt hàng ngay bây giờ.
You sent the order email.,Bạn đã gửi email đặt hàng.
We can't send the email order right now.,Chúng tôi không thể gửi thứ tự email ngay bây giờ.
Can not create invoice as order is in HOLD state,"Không thể tạo hóa đơn, trật tự ở trạng thái GIỮ"
We can't save the invoice right now.,Chúng tôi không thể tiết kiệm hóa đơn ngay bây giờ.
You can't create an invoice without products.,Bạn không thể tạo một hóa đơn mà không sản phẩm.
Invoice has been created for this order.,Hoá đơn đã được tạo ra cho đơn đặt hàng này.
Cannot create Invoice for this order.,Không thể tạo hóa đơn cho đơn đặt hàng này.
We can't create invoice for order right now.,Chúng ta không thể tạo ra hóa đơn cho đơn đặt hàng ngay bây giờ.
Can not create shipment as order is in HOLD state,Không thể tạo lô hàng như trật tự ở trạng thái GIỮ
Cannot do shipment for the order separately from invoice.,không thể làm lô hàng cho trật tự tách biệt với hóa đơn.
Cannot do shipment for the order.,không thể làm lô hàng cho đơn đặt hàng.
The shipment has been created.,Các lô hàng đã được tạo.
The shipping label has been created.,Các nhãn vận chuyển đã được tạo.
We can't ship order right now.,Chúng tôi không thể chuyển đơn đặt hàng ngay bây giờ.
That product is not yours,sản phẩm mà không phải của mình
This product no longer exists.,Sản phẩm này không còn tồn tại.
Catalog,Mục lục
Default Values,Giá trị mặc định
Could not get preview image information. Please check your connection and try again.,Không thể lấy thông tin hình ảnh xem trước. Vui lòng kiểm tra kết nối của bạn và thử lại.
Please correct the data sent value.,Xin vui lòng sửa các dữ liệu gửi đi giá trị.
Show more,Cho xem nhiều hơn
Additional data,Dữ liệu bổ sung
Following Error(s) has been occurred during importing process:,Sau Lỗi (s) đã xảy ra trong quá trình nhập khẩu:
Only the first 100 errors are shown. ,Chỉ có 100 lỗi đầu tiên được hiển thị.
in row(s):,trong hàng):
Please make sure to define SKU values for all processed products.,Hãy chắc chắn để xác định giá trị SKU cho tất cả các sản phẩm chế biến.
A total of %1 record(s) have been updated.,Tổng cộng có 1% kỷ lục (s) đã được cập nhật.
Something went wrong while updating the product(s) status.,Một cái gì đó đã đi sai khi cập nhật sản phẩm (s) trạng thái.
"Your product limit is %1, please upgrade the membership package","giới hạn sản phẩm của bạn là% 1, hãy nâng cấp gói thành viên"
There is no data for the export.,Không có dữ liệu cho xuất khẩu.
Maximum error count has been reached or system error is occurred!,đếm lỗi tối đa đã đạt hoặc lỗi hệ thống đang xảy ra!
Import successfully done,Nhập khẩu thực hiện thành công
Unable to save product,Không thể lưu sản phẩm
You saved the product.,Bạn lưu sản phẩm.
SKU for product %1 has been changed to %2.,SKU cho sản phẩm% 1 đã được đổi thành% 2.
You duplicated the product.,Bạn nhân đôi sản phẩm.
The image cannot be removed as it has been assigned to the other image role,Những hình ảnh không thể được gỡ bỏ vì nó đã được giao cho vai trò hình ảnh khác
"Sorry, but the data is invalid or the file is not uploaded.","Xin lỗi, nhưng dữ liệu không hợp lệ hoặc file không được tải lên."
The file was not uploaded.,Các tập tin không được tải lên.
This file is empty. Please try another one.,Tập tin này là trống. Vui lòng thử một số khác.
Data validation failed. Please fix the following errors and upload the file again.,xác nhận dữ liệu thất bại. Hãy sửa các lỗi sau đây và tải lên các tập tin một lần nữa.
"File is valid! To start import process press ""Import"" button","Tập tin là hợp lệ! Để bắt đầu nhập khẩu quá trình nhấn nút ""Nhập"""
"The file is valid, but we can't import it for some reason.","Các tập tin có giá trị, nhưng chúng tôi không thể import nó đối với một số lý do."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","hàng kiểm tra:% 1, các đơn vị kiểm tra:% 2, hàng không hợp lệ:% 3, tổng số lỗi:% 4"
Please specify a carrier.,Hãy xác định một tàu sân bay.
Please enter a tracking number.,Vui lòng nhập một số theo dõi.
Cannot add tracking number.%1,Không thể thêm theo dõi số. 1%
We can't load track with retrieving identifier right now.%1,Chúng tôi không thể tải ca khúc với lấy định danh ngay bây giờ.% 1
We can't initialize shipment for adding tracking number.,Chúng tôi không thể khởi tạo lô hàng để thêm số theo dõi.
We can't delete tracking number.,Chúng ta không thể xóa theo dõi số.
Something went wrong while saving the vacation.,Một cái gì đó đã đi sai trong khi tiết kiệm các kỳ nghỉ.
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Hãy kiểm tra email của bạn để liên kết xác nhận hoặc <a href=""%1""> bấm vào đây </a> cho một liên kết mới."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Đã có một tài khoản với địa chỉ email này. Nếu bạn chắc chắn rằng nó là địa chỉ email của bạn, <a href=""%1""> nhấp vào đây </a> để có được mật khẩu và truy cập của bạn tài khoản của bạn."
We can't save the customer.,Chúng tôi không thể tiết kiệm cho khách hàng.
Please make sure your passwords match.,Hãy chắc chắn rằng mật khẩu của bạn phù hợp.
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Nếu bạn là khách hàng đã đăng ký thuế GTGT, vui lòng <a href=""%1""> nhấp vào đây </a> để nhập địa chỉ vận chuyển của bạn để tính thuế GTGT phù hợp."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Nếu bạn là khách hàng đã đăng ký thuế GTGT, vui lòng <a href=""%1""> nhấp vào đây </a> để nhập địa chỉ thanh toán của bạn để tính thuế GTGT phù hợp."
Thank you for registering with %1.,Cảm ơn bạn đã đăng ký với% 1.
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Tài khoản này không được xác nhận. <a href=""%1""> Nhấn vào đây để </a> email xác nhận gửi lại."
Invalid login or password.,đăng nhập không hợp lệ hoặc mật khẩu.
A login and a password are required.,Thông tin đăng nhập và mật khẩu được yêu cầu.
Close,Đóng
Open,Mở
Processing,Chế biến
Done,Làm xong
Approved,Tán thành
Not Approved,không được chấp thuận
Reject,Từ chối
Accept,Chấp nhận
Enabled,Bật
Disabled,Tàn tật
- Disable these emails -,- Vô hiệu hóa những email -
List,Danh sách
Grid,lưới
Product was not registered,Sản phẩm đã được đăng ký không
Store was not registered,Cửa hàng đã không được đăng ký
URL key already exists.' .,chìa khóa URL đã tồn tại.' .
URL key for specified store already exists.,chìa khóa URL cho cửa hàng chỉ định đã tồn tại.
Product Attribute,Thuộc tính sản phẩm
Subtotal,Subtotal
Total Items Quantity,Tổng số đầu mục Số lượng
Total Weight,Tổng khối lượng
Payment Method,Phương thức thanh toán
Shipping Method,Phương pháp vận chuyển
Shipping Postcode,Vận Chuyển Mã bưu
Shipping Region,Region Vận Chuyển
Shipping State/Province,Vận Chuyển Tỉnh / Nhà nước
Shipping Country,Vận Chuyển Quốc
Product attribute combination,kết hợp thuộc tính sản phẩm
Products subselection,sản phẩm subselection
Conditions combination,điều kiện kết hợp
Cart Attribute,Giỏ Thuộc tính
Disapproved,Không được chấp thuận
Could not save the seller info: %1,Không thể lưu thông tin người bán:% 1
Not Submited,không Submited
Unapproved,không được chấp thuận
"We can't process your request right now. Sorry, that's all we know.","Chúng tôi không thể xử lý yêu cầu của bạn ngay bây giờ. Xin lỗi, đó là tất cả chúng ta đều biết."
Owl Carousel,Owl Carousel
Bootstrap Carousel,bootstrap Carousel
Amount from order,Số tiền từ trật tự
invoice,hóa đơn
Refunded,hoàn
Refund from order,Hoàn trả từ trật tự
Edit,Biên tập
View Customer,Xem khách hàng
View,Lượt xem
Delete,Xóa bỏ
"Delete ""${ $.$data.subject }""","Xóa ""$ {$. $ Data.subject}"""
"Are you sure you wan't to delete a ""${ $.$data.subject }"" record?","Bạn có chắc chắn bạn wan't để xóa một ""$ {$. $ Data.subject}"" kỷ lục?"
Unread,chưa đọc
Read,Đọc
What is the reason to deny this product?,lý do để từ chối sản phẩm này là gì?
Deny,Phủ nhận
Reset,Cài lại
Do you want set commission for product?,Bạn có muốn cài hoa hồng cho sản phẩm?
View Product,xem sản phẩm
View Seller,Xem người bán
All Store Views,Tất cả các lần xem Cửa hàng
Delete ${ $.$data.name },Xóa $ {$. $ Data.name}
Are you sure you want to delete a ${ $.$data.name } record?,Bạn có chắc chắn muốn xóa một {data.name $. $} Kỷ lục $?
Approved ${ $.$data.name },Phê duyệt $ {$. $ Data.name}
Are you sure you want to enable a ${ $.$data.name } record?,Bạn có chắc chắn bạn muốn kích hoạt một {data.name $. $} Kỷ lục $?
Disapproved ${ $.$data.name },Không được chấp thuận $ {$. $ Data.name}
Are you sure you want to disable a ${ $.$data.name } record?,Bạn có chắc chắn bạn muốn vô hiệu hóa một {data.name $. $} Kỷ lục $?
Complete Withdrawal,Toàn bộ Rút
Canceled,bị hủy bỏ
Add Attribute,Thêm thuộc tính
Add Selected,Thêm lựa chọn
Select Attribute,Chọn Thuộc tính
New Attribute,Thuộc tính mới
New Category,New loại
Categories,Thể loại
[GLOBAL],[TOÀN CẦU]
Customizable Options,Tùy chỉnh Tùy chọn
Custom options let customers choose the product variations they want.,tùy chọn tùy chỉnh cho phép khách hàng lựa chọn các biến thể sản phẩm mà họ muốn.
Import Options,Tùy chọn nhập khẩu
Add Option,Thêm Tùy chọn
New Option,Lựa chọn mới
Select Product,Chọn sản phẩm
Import,nhập khẩu
Option Title,Lựa chọn Tiêu đề
Add Value,Thêm giá trị
Option Type,Loại tùy chọn
-- Please select --,-- Vui lòng chọn --
Required,Cần thiết
Price Type,Giá Loại
Max Characters,Nhân vật Max
Compatible File Extensions,Phần mở rộng tập tin tương thích
Maximum Image Size,Maximum Size Image
Please leave blank if it is not an image.,Hãy bỏ trống nếu nó không phải là một hình ảnh.
px.,px.
%1,% 1
[WEBSITE],[TRANG MẠNG]
[STORE VIEW],[CỬA HÀNG XEM]
This item has weight,Mục này có trọng lượng
This item has no weight,Mục này không có trọng lượng
Set Product as New From,Set sản phẩm như mới từ
"Related Products, Up-Sells, and Cross-Sells","Sản phẩm liên quan, Up-Sells, và Cross-Sells"
Related products are shown to customers in addition to the item the customer is looking at.,sản phẩm liên quan được hiển thị cho khách hàng ngoài các mục khách hàng đang xem xét.
Add Related Products,Thêm Sản phẩm liên quan
Related Products,những sản phẩm liên quan
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,Một mục up-bán được cung cấp cho khách hàng như một đắt hoặc có chất lượng cao thay thế cho các sản phẩm khách hàng đang xem xét.
Add Up-Sell Products,Thêm Up-Bán Sản phẩm
Up-Sell Products,Up-Bán Sản phẩm
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Những sản phẩm ""xung-mua"" xuất hiện bên cạnh các giỏ mua hàng như cross-bán cho các mặt hàng đã có trong giỏ hàng."
Add Cross-Sell Products,Thêm Cross-Bán Sản phẩm
Cross-Sell Products,Cross-Bán Sản phẩm
Add Selected Products,Thêm sản phẩm được chọn
Remove,Tẩy
Thumbnail,Hình nhỏ
Product in Websites,Sản phẩm trong trang web
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Nếu trang web của Magento của bạn có nhiều quan điểm, bạn có thể thiết lập các phạm vi áp dụng cho một cái nhìn cụ thể."
Websites,trang web
name,Tên
Copy Data from,Sao chép dữ liệu từ
Browse to find or drag image here,Duyệt tìm hoặc kéo hình ảnh ở đây
Delete image,Xóa ảnh
Hidden,giấu
Alt Text,Alt Text
Image Size,Kích cỡ hình
{size},{kích thước}
Image Resolution,Độ phân giải hình ảnh
{width}^{height} px,{Width} ^ {height} px
Browse Files...,Duyệt Files ...
Choose Affected Attribute Set,Chọn Thuộc tính bị ảnh hưởng Set
Confirm,Xác nhận
start typing to search attribute,bắt đầu gõ để tìm kiếm thuộc tính
Title:,Tiêu đề:
Uploaded:,tải lên:
Uploader:,Uploader:
Duration:,Thời gian:
Basic Settings,Cài đặt cơ bản
